document,degradation,level,nb_mots_verite_terrain,nb_mots_ocr,cer,wer,taux_mots_detectes,taux_mots_manquants
0000971160.png,aucune,original,145,127,0.1589958158995816,0.35172413793103446,0.7327586206896551,0.26724137931034486
0000989556.png,aucune,original,232,212,0.6273421235253296,0.8060344827586207,0.5900621118012422,0.40993788819875776
0000990274.png,aucune,original,132,98,0.36560693641618497,0.5227272727272727,0.58,0.42000000000000004
0000999294.png,aucune,original,295,276,0.8428571428571429,0.9864406779661017,0.4794520547945205,0.5205479452054795
0001118259.png,aucune,original,90,53,0.497907949790795,0.7666666666666667,0.3333333333333333,0.6666666666666667
0001123541.png,aucune,original,189,145,0.4380639868744873,0.5873015873015873,0.4810126582278481,0.5189873417721519
0001129658.png,aucune,original,244,192,0.38033012379642367,0.5819672131147541,0.505,0.495
0001209043.png,aucune,original,145,139,0.7512019230769231,0.9103448275862069,0.7086614173228346,0.2913385826771654
0001239897.png,aucune,original,133,82,0.7220812182741116,0.8796992481203008,0.1595744680851064,0.8404255319148937
0001438955.png,aucune,original,144,110,0.7834912043301759,0.9583333333333334,0.4297520661157025,0.5702479338842975
0001456787.png,aucune,original,167,136,0.4485294117647059,0.7425149700598802,0.4842105263157895,0.5157894736842106
0001463282.png,aucune,original,218,192,0.6764934057408845,0.8761467889908257,0.5379746835443038,0.4620253164556962
0001463448.png,aucune,original,121,102,0.1783625730994152,0.4049586776859504,0.8157894736842105,0.1842105263157895
0001476912.png,aucune,original,96,91,0.7390476190476191,0.875,0.6071428571428571,0.3928571428571429
0001477983.png,aucune,original,289,251,0.5223961144090664,0.6747404844290658,0.7052631578947368,0.2947368421052632
0001485288.png,aucune,original,100,92,0.30952380952380953,0.54,0.7126436781609196,0.28735632183908044
00040534.png,aucune,original,214,200,0.6610738255033557,0.8317757009345794,0.4482758620689655,0.5517241379310345
00070353.png,aucune,original,126,113,0.2704714640198511,0.4444444444444444,0.6355140186915887,0.36448598130841126
00093726.png,aucune,original,232,211,0.6814486326681448,0.8189655172413793,0.6012269938650306,0.39877300613496935
0011505151.png,aucune,original,93,77,0.625,0.8172043010752689,0.4567901234567901,0.5432098765432098
0011838621.png,aucune,original,164,154,0.6258637709772952,0.7621951219512195,0.5772357723577236,0.4227642276422764
0011845203.png,aucune,original,165,140,0.6913086913086913,0.8181818181818182,0.7350427350427351,0.2649572649572649
0011856542.png,aucune,original,87,89,0.225177304964539,0.3793103448275862,0.8076923076923077,0.1923076923076923
